date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-08-10 20:32:47,PodRevDay,LizWilcox79,0,0,4,"ohhh, thats a dangerous bit of info. I am terrified to see numbers attached to all my listening.",,,,1292921860225736709,https://twitter.com/PodRevDay/status/1292921860225736709
2020-07-22 16:38:32,BiobridgesH2020,,0,0,3,"Biobridges braucht Ihre Antworten. Nehmen Sie an der Umfrage teil: “Erfassung des Verbraucherbewusstseins für biobasierte Produkte” Bis Oktober.",,,,1285977538955808768,https://twitter.com/BiobridgesH2020/status/1285977538955808768
2020-08-10 20:07:39,LizWilcox79,PodRevDay,1,0,4,"You can mark episodes as ""listened"" on Podchaser! It even tells you how much of your life has been spent listening to podcasts on your profile based on your listens!",,,,1292915534413979648,https://twitter.com/LizWilcox79/status/1292915534413979648
2020-08-10 19:59:17,PodRevDay,podcast_junkies,0,0,0,"omg, you did it. ((((dancing))))",,,,1292913431037857794,https://twitter.com/PodRevDay/status/1292913431037857794
2020-08-10 19:58:39,PodRevDay,VincentMacElroy,1,0,0,"What's this podcast tracking website? Would love to check it out. thanks",,,,1292913272421855233,https://twitter.com/PodRevDay/status/1292913272421855233
2020-08-10 14:19:22,VincentMacElroy,,2,2,10,"I just found out about #PodRevDay (thanks @LizWilcox79!) and about @Podchaser as a useful site for podcast tracking -- so I've updated it with my review of @PrismPals! That beautiful show I did some fanart for not too long ago~ Check out the review here:",,@LizWilcox79 @Podchaser @PrismPals,#PodRevDay,1292827888685740038,https://twitter.com/VincentMacElroy/status/1292827888685740038
2020-08-10 05:46:30,stephfuccio,,0,2,5,"Some inquiries lately about my review fees. This is NOT one of my podcast services.I write reviews for podcasts that I love to give back to a community I adore.That's also why @podrevday exists.Glad yall like my reviews &amp; hope you check out the pods they are about. #PodRevDay ",,@PodRevDay,#PodRevDay,1292698817964449793,https://twitter.com/stephfuccio/status/1292698817964449793
2020-08-10 05:12:02,PodRevDay,podcast_junkies,0,0,0,"",,,,1292690144361951232,https://twitter.com/PodRevDay/status/1292690144361951232
2020-08-10 02:23:53,OffTheBeatenPod,,1,0,2,"We're always late. Always! But for #PodRevDay, we dropped a review for @ThatsNotProper, which we listened to this morning. Definitely recommend the most recent episode. Cori shares her families firsthand experience with Covid-19. #PodernFamily #podcastlife #chicago",,@ThatsNotProper,#PodRevDay #PodernFamily #podcastlife #chicago,1292647828565655552,https://twitter.com/OffTheBeatenPod/status/1292647828565655552
2020-08-09 23:52:39,podcast_junkies,stephfuccio,2,0,1,"Will do!",,,,1292609768872321024,https://twitter.com/podcast_junkies/status/1292609768872321024
2020-08-09 20:22:06,PodRevDay,PersuadePod,0,0,0,"Your welcome. Thanks for joining us yesterday!",,,,1292556785585475586,https://twitter.com/PodRevDay/status/1292556785585475586
