,id,username,displayname,location,created,followersCount,friendsCount,url,verified,geotext,city,country
0,1258481717431750656,PodRevDay,"Podcast Review Day, #podrevday",,2020-05-07T19:40:12+00:00,1020,1141,https://twitter.com/PodRevDay,False,<geotext.geotext.GeoText object at 0x7f4bdcca4f40>,,
1,4056011122,realnealveglio,Neal Veglio,"Oxford, England",2015-10-27T20:56:00+00:00,3364,2704,https://twitter.com/realnealveglio,False,<geotext.geotext.GeoText object at 0x7f4bdcca4fa0>,Oxford,United Kingdom
2,1215116557946380289,talkin_shiz,Talkin’ Shiz,"Tennessee, USA",2020-01-09T03:42:27+00:00,5102,2757,https://twitter.com/talkin_shiz,False,<geotext.geotext.GeoText object at 0x7f4bdcca4f10>,,United States
3,1397759262500085761,WomenOnMic,Women On Mic,Worldwide,2021-05-27T03:39:27+00:00,33,67,https://twitter.com/WomenOnMic,False,<geotext.geotext.GeoText object at 0x7f4bdcca4c40>,,
4,1152104357523021825,LsceP,I Saw It On Linden Street,"Normal, IL",2019-07-19T06:34:18+00:00,654,1015,https://twitter.com/LsceP,False,<geotext.geotext.GeoText object at 0x7f4bdcca4730>,Normal,United States
6,1212088323885301760,greenhorizonpod,The Green Horizon | Irish Indie Audio Drama 🇮🇪🚀, The Tantam Void,2019-12-31T19:09:21+00:00,742,816,https://twitter.com/greenhorizonpod,False,<geotext.geotext.GeoText object at 0x7f4bdcc2aee0>,,
10,1369684951831023620,tropen_haus,Tropenhaus-Podcast,,2021-03-10T16:22:21+00:00,79,13,https://twitter.com/tropen_haus,False,<geotext.geotext.GeoText object at 0x7f4bdcc2aa60>,,
11,1087100443761758208,OracleofDusk,MJ Bailey,,2019-01-20T21:31:57+00:00,842,1883,https://twitter.com/OracleofDusk,False,<geotext.geotext.GeoText object at 0x7f4bdcc2ad30>,,
13,1355535654579544066,jonathanfoneill,Jonathan O'Neill,"New York, NY",2021-01-30T15:17:46+00:00,193,204,https://twitter.com/jonathanfoneill,False,<geotext.geotext.GeoText object at 0x7f4bdcc2a100>,New York,United States
14,533456292,CaseyBroda,Casey Broda,"Currently Seattle, WA",2012-03-22T18:35:49+00:00,194,365,https://twitter.com/CaseyBroda,False,<geotext.geotext.GeoText object at 0x7f4bdcc2a2b0>,,United States
19,1366795019613396992,fmwlpod,F**k My Work Life,,2021-03-02T16:59:02+00:00,493,569,https://twitter.com/fmwlpod,False,<geotext.geotext.GeoText object at 0x7f4bdcc2a490>,,
25,467990513,jd_thejedi,JD,NC,2012-01-19T02:08:49+00:00,2602,863,https://twitter.com/jd_thejedi,False,<geotext.geotext.GeoText object at 0x7f4bdcc2a4c0>,,United States
29,717562485046427648,littoralchemist,Giant Kind Carb Structural Lounge Chair,YUL,2016-04-06T04:00:02+00:00,34,177,https://twitter.com/littoralchemist,False,<geotext.geotext.GeoText object at 0x7f4bdcc2a760>,,
30,1303906980352978945,houseofbeesart,K,,2020-09-10T04:03:54+00:00,3,40,https://twitter.com/houseofbeesart,False,<geotext.geotext.GeoText object at 0x7f4bdcc2a550>,,
31,772231864937361408,Podchaser,Podchaser,,2016-09-04T00:36:38+00:00,23830,9852,https://twitter.com/Podchaser,False,<geotext.geotext.GeoText object at 0x7f4bdcc2a7f0>,,
32,861012968359817216,ODParlayHour,Ocho Duro Parlay Hour (#ODPH),"Binghamton, NY",2017-05-07T00:21:03+00:00,5146,3820,https://twitter.com/ODParlayHour,False,<geotext.geotext.GeoText object at 0x7f4bdcc2a970>,Binghamton,United States
33,1015452876880003072,RunningEducator,The Running Educator,Riverland East ,2018-07-07T04:30:06+00:00,1025,1349,https://twitter.com/RunningEducator,False,<geotext.geotext.GeoText object at 0x7f4bdcc2aaf0>,,
43,1059513315376869378,OnceUponAGene,Effie Parks,"Seattle, WA",2018-11-05T18:30:34+00:00,951,1698,https://twitter.com/OnceUponAGene,False,<geotext.geotext.GeoText object at 0x7f4bdcc2acd0>,Seattle,United States
44,1350108935194341376,mattyoksmith,Matty,Republic of Ireland,2021-01-15T15:54:01+00:00,262,132,https://twitter.com/mattyoksmith,False,<geotext.geotext.GeoText object at 0x7f4bdcc2ae20>,,Ireland
45,855428700,kaludiasays,Klaudia Amenábar,Havoc Marauder,2012-09-30T22:17:03+00:00,8161,7550,https://twitter.com/kaludiasays,True,<geotext.geotext.GeoText object at 0x7f4bdcc2af10>,,
47,1365264807805530114,wakeofcorrosion,Wake Of Corrosion,Bunker A:12,2021-02-26T11:37:59+00:00,135,176,https://twitter.com/wakeofcorrosion,False,<geotext.geotext.GeoText object at 0x7f4bdcc2ac40>,,
